File: server
Build ID: 6bb927709f5a4112556a3cf292ca47f2b149d7b5
Type: cpu
Time: 2026-09-24 15:18:14 EDT
Duration: 20s, Total samples = 1.72s ( 8.60%)
Showing nodes accounting for 1.72s, 100% of 1.72s total
      flat  flat%   sum%        cum   cum%
     0.70s 40.70% 40.70%      0.70s 40.70%  internal/runtime/syscall/linux.Syscall6
         0     0%   100%      0.08s  4.65%  github.com/jackc/pgx/v5.(*Conn).BeginTx
         0     0%   100%      0.37s 21.51%  github.com/jackc/pgx/v5.(*Conn).Exec
         0     0%   100%      0.39s 22.67%  github.com/jackc/pgx/v5.(*Conn).Query
         0     0%   100%      0.01s  0.58%  github.com/jackc/pgx/v5.(*Conn).QueryRow (inline)
         0     0%   100%      0.01s  0.58%  github.com/jackc/pgx/v5.(*Conn).deallocateInvalidatedCachedStatements
         0     0%   100%      0.37s 21.51%  github.com/jackc/pgx/v5.(*Conn).exec
         0     0%   100%      0.14s  8.14%  github.com/jackc/pgx/v5.(*Conn).execPrepared
         0     0%   100%      0.23s 13.37%  github.com/jackc/pgx/v5.(*Conn).execSimpleProtocol
         0     0%   100%      0.03s  1.74%  github.com/jackc/pgx/v5.(*ExtendedQueryBuilder).Build
         0     0%   100%      0.02s  1.16%  github.com/jackc/pgx/v5.(*ExtendedQueryBuilder).appendParam
         0     0%   100%      0.02s  1.16%  github.com/jackc/pgx/v5.(*ExtendedQueryBuilder).encodeExtendedParamValue
         0     0%   100%      0.13s  7.56%  github.com/jackc/pgx/v5.(*dbTx).Commit
         0     0%   100%      0.16s  9.30%  github.com/jackc/pgx/v5.(*dbTx).Exec
         0     0%   100%      0.38s 22.09%  github.com/jackc/pgx/v5.(*dbTx).Query
         0     0%   100%      0.38s 22.09%  github.com/jackc/pgx/v5.(*dbTx).QueryRow
         0     0%   100%      0.01s  0.58%  github.com/jackc/pgx/v5/internal/stmtcache.(*LRUCache).RemoveInvalidated
         0     0%   100%      0.05s  2.91%  github.com/jackc/pgx/v5/pgconn.(*MultiResultReader).NextResult
         0     0%   100%      0.05s  2.91%  github.com/jackc/pgx/v5/pgconn.(*MultiResultReader).receiveMessage
         0     0%   100%      0.18s 10.47%  github.com/jackc/pgx/v5/pgconn.(*PgConn).Exec
         0     0%   100%      0.46s 26.74%  github.com/jackc/pgx/v5/pgconn.(*PgConn).ExecPrepared
         0     0%   100%      0.02s  1.16%  github.com/jackc/pgx/v5/pgconn.(*PgConn).convertRowDescription
         0     0%   100%      0.02s  1.16%  github.com/jackc/pgx/v5/pgconn.(*PgConn).execExtendedPrefix
         0     0%   100%      0.43s 25.00%  github.com/jackc/pgx/v5/pgconn.(*PgConn).execExtendedSuffix
         0     0%   100%      0.49s 28.49%  github.com/jackc/pgx/v5/pgconn.(*PgConn).flushWithPotentialWriteReadDeadlock
         0     0%   100%      0.10s  5.81%  github.com/jackc/pgx/v5/pgconn.(*PgConn).peekMessage
         0     0%   100%      0.03s  1.74%  github.com/jackc/pgx/v5/pgconn.(*PgConn).receiveMessage
         0     0%   100%      0.03s  1.74%  github.com/jackc/pgx/v5/pgconn.(*ResultReader).Close
         0     0%   100%      0.03s  1.74%  github.com/jackc/pgx/v5/pgconn.(*ResultReader).Read
         0     0%   100%      0.10s  5.81%  github.com/jackc/pgx/v5/pgconn.(*ResultReader).readUntilRowDescription
